"Your_Fund","Fund_Investment","Your_Fund_Percent","Company","Initial_Investment_Year","Initial_Inv_Qtr_End_Date","Stage_of_First_Investment","Current_Stage","Industry","Geography","As_Of_Date","YF_Currency","Unrealized_Cost_YF_Cur","Realized_Cost_YF_Cur","Total_Cost_YF_Cur","Recent_Value_YF_Cur","Cum_Proceeds_YF_Cur","Total_Value_YF_Cur","FI_Currency","Unrealized_Cost_FI_Cur","Realized_Cost_FI_Cur","Total_Cost_FI_Cur","Recent_Value_FI_Cur","Cum_Proceeds_FI_Cur","Total_Value_FI_Cur","Total_Count","Private_Count","Public_Count","Realized_Count","Write_Off_Count"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 1","2011","31/03/2011","ES","ES","322 Educational and Training Products","314 India","31/03/2015","USD",2120869,0,2120869,2523228,0,2523228,"USD",2120869,0,2120869,2523228,0,2523228,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 2","2011","30/06/2011","SS","SS","313 Electronic Commerce","314 India","31/03/2015","USD",3952844,0,3952844,0,0,0,"USD",3952844,0,3952844,0,0,0,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 3","2011","31/03/2011","SS","SS","11 Communications / Networking (CN)","314 India","31/03/2015","USD",0,386161,386161,0,194003,194003,"USD",0,386161,386161,0,194003,194003,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 4","2011","31/03/2011","SS","SS","11 Communications / Networking (CN)","314 India","31/03/2015","USD",2177606,0,2177606,13675354,0,13675354,"USD",2177606,0,2177606,13675354,0,13675354,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 5","2010","31/03/2010","ES","LS","155 Other Online Services","314 India","31/03/2015","USD",10059917,476609,10536526,496725002,63083596,559808598,"USD",10059917,476609,10536526,496725002,63083596,559808598,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 6","2011","30/06/2011","SS","SS","322 Educational and Training Products","314 India","31/03/2015","USD",1176286,0,1176286,1036782,0,1036782,"USD",1176286,0,1176286,1036782,0,1036782,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 7","2011","31/03/2011","SS","SS","21 Healthcare Services (HS)","314 India","31/03/2015","USD",0,676570,676570,0,1479725,1479725,"USD",0,676570,676570,0,1479725,1479725,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 8","2011","31/03/2011","SS","SS","14 Software (SW)","314 India","31/03/2015","USD",1570842,0,1570842,1502967,0,1502967,"USD",1570842,0,1570842,1502967,0,1502967,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 9","2010","31/12/2010","ES","ES","23 Biopharmaceuticals (BPH)","314 India","31/03/2015","USD",0,480732,480732,0,1018869,1018869,"USD",0,480732,480732,0,1018869,1018869,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 10","2011","31/03/2011","ES","ES","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",0,1902486,1902486,0,1921923,1921923,"USD",0,1902486,1902486,0,1921923,1921923,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 11","2011","30/06/2011","SS","SS","24 Medical Devices and Equipment (MDE)","314 India","31/03/2015","USD",1715781,0,1715781,1719337,0,1719337,"USD",1715781,0,1715781,1719337,0,1719337,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 12","2011","30/09/2011","SS","SS","11 Communications / Networking (CN)","314 India","31/03/2015","USD",1455018,0,1455018,1959283,0,1959283,"USD",1455018,0,1455018,1959283,0,1959283,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 13","2011","31/03/2011","ES","LS","311 Apparel and Accessory Retailers","314 India","31/03/2015","USD",0,0,0,0,0,0,"USD",0,0,0,0,0,0,"0","0","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 14","2011","31/03/2011","ES","ES","14 Software (SW)","111 U.S. California","31/03/2015","USD",0,1433296,1433296,0,0,0,"USD",0,1433296,1433296,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 15","2011","31/03/2011","SS","SS","14 Software (SW)","314 India","31/03/2015","USD",0,1012893,1012893,0,283821,283821,"USD",0,1012893,1012893,0,283821,283821,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 16","2011","30/09/2011","ES","ES","15 Information Services (IS)","314 India","31/03/2015","USD",1961590,0,1961590,1982629,0,1982629,"USD",1961590,0,1961590,1982629,0,1982629,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 17","2011","31/03/2011","ES","ES","334 Financial Institutions and Services","314 India","31/03/2015","USD",1865910,0,1865910,2418120,0,2418120,"USD",1865910,0,1865910,2418120,0,2418120,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 18","2011","31/03/2011","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",2313604,0,2313604,3196707,0,3196707,"USD",2313604,0,2313604,3196707,0,3196707,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 19","2013","30/06/2013","SS","SS","334 Financial Institutions and Services","314 India","31/03/2015","USD",1690714,0,1690714,1659946,0,1659946,"USD",1690714,0,1690714,1659946,0,1659946,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 20","2011","31/03/2011","ES","ES","11 Communications / Networking (CN)","113 U.S. North East","31/03/2015","USD",0,0,0,0,0,0,"USD",0,0,0,0,0,0,"0","0","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 21","2011","30/09/2011","ES","ES","11 Communications / Networking (CN)","314 India","31/03/2015","USD",2045683,0,2045683,2417387,0,2417387,"USD",2045683,0,2045683,2417387,0,2417387,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 22","2011","31/03/2011","SS","SS","14 Software (SW)","314 India","31/03/2015","USD",682431,0,682431,586488,0,586488,"USD",682431,0,682431,586488,0,586488,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 23","2011","31/03/2011","SS","SS","155 Other Online Services","314 India","31/03/2015","USD",0,1174546,1174546,0,586581,586581,"USD",0,1174546,1174546,0,586581,586581,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 24","2011","31/03/2011","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",4356379,0,4356379,3506565,0,3506565,"USD",4356379,0,4356379,3506565,0,3506565,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 25","2010","31/03/2010","ES","ES","12 Electronics / Computer Hardware (EC)","111 U.S. California","31/03/2015","USD",2731778,0,2731778,1593491,0,1593491,"USD",2731778,0,2731778,1593491,0,1593491,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 26","2008","31/12/2008","DC","BO","328 Industrial Products","436 Southern Africa","31/03/2015","USD",79237000,1996081,81233081,113609000,13259000,126868000,"USD",79237000,1996081,81233081,113609000,13259000,126868000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 27","2009","30/09/2009","PU","PU","334 Financial Institutions and Services","431 Egypt","31/03/2015","USD",0,41716000,41716000,0,83160000,83160000,"USD",0,41716000,41716000,0,83160000,83160000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 28","2008","31/12/2008","BO","BO","46 Other","45 Other - Rest of World","31/03/2015","USD",0,7606900,7606900,0,6233000,6233000,"USD",0,7606900,7606900,0,6233000,6233000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 29","2010","30/09/2010","BO","BO","334 Financial Institutions and Services","431 Egypt","31/03/2015","USD",18870000,6669440,25539440,74220000,8499000,82719000,"USD",18870000,6669440,25539440,74220000,8499000,82719000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 30","2013","30/06/2013","DC","DC","323 Food Products","431 Egypt","31/03/2015","USD",50331000,1937000,52268000,134744000,2821000,137565000,"USD",50331000,1937000,52268000,134744000,2821000,137565000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 31","2008","31/12/2008","DC","DC","314 Food Retailing","431 Egypt","31/03/2015","USD",0,12315000,12315000,0,14676000,14676000,"USD",0,12315000,12315000,0,14676000,14676000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 32","2013","31/12/2013","BO","BO","334 Financial Institutions and Services","436 Southern Africa","31/03/2015","USD",62325000,0,62325000,74409000,0,74409000,"USD",62325000,0,62325000,74409000,0,74409000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 33","2011","31/12/2011","DC","DC","324 Vehicle and Components Manufacturers","436 Southern Africa","31/03/2015","USD",31458000,16176937,47634937,72123000,19628000,91751000,"USD",31458000,16176937,47634937,72123000,19628000,91751000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 2",1.65,"Company 34","2010","30/09/2010","BO","BO","325 Producers of Clothing and Accessories","45 Other - Rest of World","31/03/2015","USD",29616931,9380069,38997000,51909000,12862000,64771000,"USD",29616931,9380069,38997000,51909000,12862000,64771000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 35","2012","30/09/2012","DC","DC","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",39371000,0,39371000,56112000,0,56112000,"USD",39371000,0,39371000,56112000,0,56112000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 36","2010","31/12/2010","BO","BO","331 Business Services","314 India","31/03/2015","USD",62500000,0,62500000,44049000,96000,44145000,"USD",62500000,0,62500000,44049000,96000,44145000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 37","2012","30/09/2012","PU","PU","21 Healthcare Services (HS)","317 Other - Asia Pacific","31/03/2015","USD",26838000,5596000,32434000,48454000,6670000,55124000,"USD",26838000,5596000,32434000,48454000,6670000,55124000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 38","2011","31/12/2011","DC","DC","324 Vehicle and Components Manufacturers","314 India","31/03/2015","USD",34500000,377965,34877965,74428000,511965,74939965,"USD",34500000,377965,34877965,74428000,511965,74939965,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 39","2010","30/09/2010","PU","PU","334 Financial Institutions and Services","314 India","31/03/2015","USD",46708000,11173000,57881000,37809000,15374000,53183000,"USD",46708000,11173000,57881000,37809000,15374000,53183000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 40","2010","31/03/2010","DC","DC","331 Business Services","314 India","31/03/2015","USD",31839000,0,31839000,7743000,32000,7775000,"USD",31839000,0,31839000,7743000,32000,7775000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 41","2008","31/12/2008","BO","BO","327 Consumer Products","314 India","31/03/2015","USD",0,29464000,29464000,0,94401000,94401000,"USD",0,29464000,29464000,0,94401000,94401000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 42","2011","31/12/2011","BO","BO","21 Healthcare Services (HS)","314 India","31/03/2015","USD",0,3579597,3579597,0,2773000,2773000,"USD",0,3579597,3579597,0,2773000,2773000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 43","2011","31/03/2011","DC","DC","327 Consumer Products","314 India","31/03/2015","USD",72940000,32918000,105858000,42232000,33252000,75484000,"USD",72940000,32918000,105858000,42232000,33252000,75484000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 3",0.6,"Company 44","2013","31/12/2013","BO","BO","23 Biopharmaceuticals (BPH)","314 India","31/03/2015","USD",46887000,0,46887000,78651000,0,78651000,"USD",46887000,0,46887000,78651000,0,78651000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 45","2012","31/12/2012","LS","LS","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",5632046.28,0,5632046.28,5632046.42,0,5632046.42,"USD",5632046.28,0,5632046.28,5632046.42,0,5632046.42,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 46","2014","31/03/2014","ES","ES","24 Medical Devices and Equipment (MDE)","111 U.S. California","31/03/2015","USD",5449541,0,5449541,5449541,0,5449541,"USD",5449541,0,5449541,5449541,0,5449541,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 47","2013","30/09/2013","LS","LS","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",2724771,0,2724771,2724771,0,2724771,"USD",2724771,0,2724771,2724771,0,2724771,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 48","2014","31/12/2014","ES","ES","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",1488633.03,0,1488633.03,1488633.03,0,1488633.03,"USD",1488633.03,0,1488633.03,1488633.03,0,1488633.03,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 49","2014","31/12/2014","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",5406004.92,0,5406004.92,5406004.92,0,5406004.92,"USD",5406004.92,0,5406004.92,5406004.92,0,5406004.92,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 50","2014","30/06/2014","LS","LS","23 Biopharmaceuticals (BPH)","11 U.S.","31/03/2015","USD",4541284,0,4541284,4541284,0,4541284,"USD",4541284,0,4541284,4541284,0,4541284,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 51","2014","30/09/2014","LS","LS","22 Medical Information Systems (MIS)","111 U.S. California","31/03/2015","USD",4541284.4,0,4541284.4,4541284.4,0,4541284.4,"USD",4541284.4,0,4541284.4,4541284.4,0,4541284.4,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 52","2014","31/12/2014","DC","DC","21 Healthcare Services (HS)","312 China","31/03/2015","USD",5181304.11,0,5181304.11,5181304.11,0,5181304.11,"USD",5181304.11,0,5181304.11,5181304.11,0,5181304.11,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 53","2014","31/03/2014","ES","ES","23 Biopharmaceuticals (BPH)","111 U.S. California","31/03/2015","USD",4551084,0,4551084,4551084,0,4551084,"USD",4551084,0,4551084,4551084,0,4551084,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 54","2013","30/09/2013","LS","LS","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",8556072.46,0,8556072.46,8556072.5,0,8556072.5,"USD",8556072.46,0,8556072.46,8556072.5,0,8556072.5,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 55","2013","31/12/2013","LS","LS","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",1923160,0,1923160,1923160,0,1923160,"USD",1923160,0,1923160,1923160,0,1923160,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 56","2013","31/12/2013","LS","LS","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",10823550.12,0,10823550.12,14962336.66,0,14962336.66,"USD",10823550.12,0,10823550.12,14962336.66,0,14962336.66,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 57","2014","31/12/2014","LS","LS","313 Electronic Commerce","312 China","31/03/2015","USD",1362385.32,0,1362385.32,1362385.32,0,1362385.32,"USD",1362385.32,0,1362385.32,1362385.32,0,1362385.32,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 58","2013","31/03/2013","LS","LS","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",6399078.64,0,6399078.64,6399078.06,0,6399078.06,"USD",6399078.64,0,6399078.64,6399078.06,0,6399078.06,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 59","2014","31/12/2014","DC","DC","313 Electronic Commerce","312 China","31/03/2015","USD",18194149.07,0,18194149.07,18194149.07,0,18194149.07,"USD",18194149.07,0,18194149.07,18194149.07,0,18194149.07,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 60","2013","30/06/2013","ES","ES","44 Environmental","312 China","31/03/2015","USD",7397888,0,7397888,7397888,0,7397888,"USD",7397888,0,7397888,7397888,0,7397888,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 4",10.11,"Company 61","2014","31/12/2014","ES","ES","22 Medical Information Systems (MIS)","312 China","31/03/2015","USD",9082568.81,0,9082568.81,9082568.81,0,9082568.81,"USD",9082568.81,0,9082568.81,9082568.81,0,9082568.81,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 62","2011","30/09/2011","DC","DC","324 Vehicle and Components Manufacturers","312 China","31/03/2015","USD",23400000,46810000,70210000,4.5e+07,113470000,158470000,"USD",23400000,46810000,70210000,4.5e+07,113470000,158470000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 63","2013","31/12/2013","DC","DC","423 Dairy","312 China","31/03/2015","USD",29310000,0,29310000,29310000,0,29310000,"USD",29310000,0,29310000,29310000,0,29310000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 64","2013","30/09/2013","DC","DC","311 Apparel and Accessory Retailers","311 Japan","31/03/2015","USD",73270000,0,73270000,73270000,0,73270000,"USD",73270000,0,73270000,73270000,0,73270000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 65","2011","31/12/2011","PU","PU","323 Food Products","312 China","31/03/2015","USD",19380000,0,19380000,4870000,0,4870000,"USD",19380000,0,19380000,4870000,0,4870000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 66","2011","31/03/2011","DC","DC","328 Industrial Products","312 China","31/03/2015","USD",0,104960000,104960000,0,139430000,139430000,"USD",0,104960000,104960000,0,139430000,139430000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 67","2012","31/03/2012","DC","DC","328 Industrial Products","312 China","31/03/2015","USD",30910000,0,30910000,50810000,0,50810000,"USD",30910000,0,30910000,50810000,0,50810000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 68","2011","31/12/2011","DC","PU","32 Consumer and Business Products","312 China","31/03/2015","USD",189210000,9290000,198500000,321870000,17930000,339800000,"USD",189210000,9290000,198500000,321870000,17930000,339800000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 69","2013","31/03/2013","DC","PU","313 Electronic Commerce","317 Other - Asia Pacific","31/03/2015","USD",14380000,7470000,21850000,56360000,26140000,82500000,"USD",14380000,7470000,21850000,56360000,26140000,82500000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 70","2013","30/09/2013","PU","PU","332 Consumer Services","312 China","31/03/2015","USD",97930000,0,97930000,275750000,0,275750000,"USD",97930000,0,97930000,275750000,0,275750000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 71","2012","30/06/2012","DC","DC","49 Oil & Gas","317 Other - Asia Pacific","31/03/2015","USD",43770000,20100000,63870000,67620000,27350000,94970000,"USD",43770000,20100000,63870000,67620000,27350000,94970000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 72","2013","30/06/2013","PU","PU","327 Consumer Products","316 Hong Kong","31/03/2015","USD",74360000,17280000,91640000,153430000,22780000,176210000,"USD",74360000,17280000,91640000,153430000,22780000,176210000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 73","2012","31/03/2012","DC","PU","23 Biopharmaceuticals (BPH)","312 China","31/03/2015","USD",34670000,30930000,65600000,185360000,125370000,310730000,"USD",34670000,30930000,65600000,185360000,125370000,310730000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 74","2011","31/12/2011","DC","DC","41 Specialty Materials and Chemicals","312 China","31/03/2015","USD",49850000,0,49850000,69640000,0,69640000,"USD",49850000,0,49850000,69640000,0,69640000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 75","2012","30/09/2012","DC","DC","48 Metals & Mining","312 China","31/03/2015","USD",212700000,0,212700000,140700000,0,140700000,"USD",212700000,0,212700000,140700000,0,140700000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 76","2010","30/09/2010","DC","PU","323 Food Products","312 China","31/03/2015","USD",93410000,0,93410000,151390000,1520000,152910000,"USD",93410000,0,93410000,151390000,1520000,152910000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 77","2011","31/03/2011","DC","DC","41 Specialty Materials and Chemicals","317 Other - Asia Pacific","31/03/2015","USD",9.6e+07,0,9.6e+07,1.08e+08,0,1.08e+08,"USD",9.6e+07,0,9.6e+07,1.08e+08,0,1.08e+08,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 5",0.34,"Company 78","2012","30/06/2012","PU","PU","32 Consumer and Business Products","316 Hong Kong","31/03/2015","USD",32920000,0,32920000,32920000,3260000,36180000,"USD",32920000,0,32920000,32920000,3260000,36180000,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 79","2010","30/09/2010","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",7229231,0,7229231,13351897,0,13351897,"USD",7229231,0,7229231,13351897,0,13351897,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 80","2009","30/09/2009","ES","ES","328 Industrial Products","315 Taiwan","31/03/2015","USD",2189362,31000,2220362,2676558,51549,2728107,"USD",2189362,31000,2220362,2676558,51549,2728107,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 81","2011","31/03/2011","ES","ES","433 Solar","3 Asia Pacific","31/03/2015","USD",7850000,0,7850000,8144893,0,8144893,"USD",7850000,0,7850000,8144893,0,8144893,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 82","2011","30/09/2011","ES","ES","12 Electronics / Computer Hardware (EC)","113 U.S. North East","31/03/2015","USD",24962007,0,24962007,28875393,0,28875393,"USD",24962007,0,24962007,28875393,0,28875393,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 83","2010","31/12/2010","ES","ES","12 Electronics / Computer Hardware (EC)","111 U.S. California","31/03/2015","USD",7490764,0,7490764,14265161,0,14265161,"USD",7490764,0,7490764,14265161,0,14265161,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 84","2009","31/12/2009","ES","ES","153 Information Providers","312 China","31/03/2015","USD",1980000,0,1980000,0,0,0,"USD",1980000,0,1980000,0,0,0,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 85","2010","30/06/2010","ES","ES","334 Financial Institutions and Services","111 U.S. California","31/03/2015","USD",7969890,0,7969890,21244984,0,21244984,"USD",7969890,0,7969890,21244984,0,21244984,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 86","2011","30/06/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",6272000,0,6272000,7819531,0,7819531,"USD",6272000,0,6272000,7819531,0,7819531,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 87","2011","30/06/2011","ES","ES","315 Speciality Retailers","315 Taiwan","31/03/2015","USD",4083617,0,4083617,3781373,0,3781373,"USD",4083617,0,4083617,3781373,0,3781373,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 88","2009","31/12/2009","FU","FU","46 Other","312 China","31/03/2015","USD",31338884,0,31338884,70991863,0,70991863,"USD",31338884,0,31338884,70991863,0,70991863,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 89","2009","31/12/2009","ES","ES","152 Data-Management Services","312 China","31/03/2015","USD",0,7456653,7456653,0,0,0,"USD",0,7456653,7456653,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 90","2009","31/12/2009","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",1285973,7539123,8825096,0,14785909,14785909,"USD",1285973,7539123,8825096,0,14785909,14785909,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 91","2009","30/06/2009","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",1518067,0,1518067,1735000,0,1735000,"USD",1518067,0,1518067,1735000,0,1735000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 92","2010","30/06/2010","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",0,34151556,34151556,0,0,0,"USD",0,34151556,34151556,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 6",5.22,"Company 93","2010","31/12/2010","ES","LS","13 Semiconductors (SC)","312 China","31/03/2015","USD",19743700,0,19743700,65236689,0,65236689,"USD",19743700,0,19743700,65236689,0,65236689,"1","1","0","0","0"
