"Your_Fund","Fund_Investment","Your_Fund_Percent","Company","Initial_Investment_Year","Initial_Inv_Qtr_End_Date","Stage_of_First_Investment","Current_Stage","Industry","Geography","As_Of_Date","YF_Currency","Unrealized_Cost_YF_Cur","Realized_Cost_YF_Cur","Total_Cost_YF_Cur","Recent_Value_YF_Cur","Cum_Proceeds_YF_Cur","Total_Value_YF_Cur","FI_Currency","Unrealized_Cost_FI_Cur","Realized_Cost_FI_Cur","Total_Cost_FI_Cur","Recent_Value_FI_Cur","Cum_Proceeds_FI_Cur","Total_Value_FI_Cur","Total_Count","Private_Count","Public_Count","Realized_Count","Write_Off_Count"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 190","2012","30/09/2012","ES","ES","24 Medical Devices and Equipment (MDE)","314 India","31/03/2015","USD",4482242,0,4482242,5472855,0,5472855,"USD",4482242,0,4482242,5472855,0,5472855,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 191","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",8782308,0,8782308,7599525,0,7599525,"USD",8782308,0,8782308,7599525,0,7599525,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 192","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",0,3396736,3396736,0,3e+06,3e+06,"USD",0,3396736,3396736,0,3e+06,3e+06,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 193","2012","30/09/2012","LS","LS","14 Software (SW)","314 India","31/03/2015","USD",0,7382150,7382150,0,16007401,16007401,"USD",0,7382150,7382150,0,16007401,16007401,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 13","2012","30/09/2012","ES","LS","311 Apparel and Accessory Retailers","314 India","31/03/2015","USD",0,26887534,26887534,0,39662825,39662825,"USD",0,26887534,26887534,0,39662825,39662825,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 194","2012","30/09/2012","ES","ES","11 Communications / Networking (CN)","314 India","31/03/2015","USD",4566078,0,4566078,5605025,0,5605025,"USD",4566078,0,4566078,5605025,0,5605025,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 195","2012","30/09/2012","ES","ES","24 Medical Devices and Equipment (MDE)","314 India","31/03/2015","USD",21859862,0,21859862,27434446,0,27434446,"USD",21859862,0,21859862,27434446,0,27434446,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 196","2012","30/09/2012","ES","LS","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",0,5e+06,5e+06,0,3250000,3250000,"USD",0,5e+06,5e+06,0,3250000,3250000,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 197","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",10974284,0,10974284,30254506,0,30254506,"USD",10974284,0,10974284,30254506,0,30254506,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 198","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",5874017,0,5874017,6704299,0,6704299,"USD",5874017,0,5874017,6704299,0,6704299,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 199","2012","30/09/2012","ES","ES","155 Other Online Services","314 India","31/03/2015","USD",4434456,0,4434456,8316397,0,8316397,"USD",4434456,0,4434456,8316397,0,8316397,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 9",3.32,"Company 200","2012","30/09/2012","ES","ES","14 Software (SW)","314 India","31/03/2015","USD",13600082,0,13600082,30998682,0,30998682,"USD",13600082,0,13600082,30998682,0,30998682,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 201","2009","30/09/2009","PU","PU","311 Apparel and Accessory Retailers","312 China","31/03/2015","USD",7079614,22992268,30071882,5116437,42839702,47956139,"USD",7079614,22992268,30071882,5116437,42839702,47956139,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 202","2010","31/03/2010","LS","LS","334 Financial Institutions and Services","312 China","31/03/2015","USD",38246000,0,38246000,54373342,0,54373342,"USD",38246000,0,38246000,54373342,0,54373342,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 203","2009","31/12/2009","LS","LS","333 Educational and Training Services","312 China","31/03/2015","USD",22941600,0,22941600,35125283,0,35125283,"USD",22941600,0,22941600,35125283,0,35125283,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 204","2011","31/12/2011","PU","PU","311 Apparel and Accessory Retailers","312 China","31/03/2015","USD",29358428,0,29358428,18440066,0,18440066,"USD",29358428,0,29358428,18440066,0,18440066,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 205","2008","31/12/2008","LS","LS","326 Media and Publications","312 China","31/03/2015","USD",26808216,0,26808216,13000072,0,13000072,"USD",26808216,0,26808216,13000072,0,13000072,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 206","2009","31/12/2009","FU","FU","46 Other","312 China","31/03/2015","USD",0,6342874,6342874,0,6342874,6342874,"USD",0,6342874,6342874,0,6342874,6342874,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 207","2010","31/12/2010","LS","LS","43 Energy","312 China","31/03/2015","USD",48754035,0,48754035,53034776,0,53034776,"USD",48754035,0,48754035,53034776,0,53034776,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 208","2010","31/12/2010","DC","DC","326 Media and Publications","111 U.S. California","31/03/2015","USD",43678247,0,43678247,115124071,0,115124071,"USD",43678247,0,43678247,115124071,0,115124071,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 209","2010","30/06/2010","LS","DC","14 Software (SW)","312 China","31/03/2015","USD",21909893,7101672,29011565,97879480,18837516,116716996,"USD",21909893,7101672,29011565,97879480,18837516,116716996,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 210","2011","31/12/2011","DC","PU","311 Apparel and Accessory Retailers","243 Italy","31/03/2015","USD",488274,89782112,90270386,386742,147994664,148381406,"USD",488274,89782112,90270386,386742,147994664,148381406,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 211","2011","31/12/2011","DC","DC","315 Speciality Retailers","317 Other - Asia Pacific","31/03/2015","USD",10660278,0,10660278,50593962,0,50593962,"USD",10660278,0,10660278,50593962,0,50593962,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 212","2011","31/12/2011","LS","LS","311 Apparel and Accessory Retailers","316 Hong Kong","31/03/2015","USD",0,2546835,2546835,0,579004,579004,"USD",0,2546835,2546835,0,579004,579004,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 213","2011","31/12/2011","ES","ES","314 Food Retailing","312 China","31/03/2015","USD",97017653,0,97017653,171440657,0,171440657,"USD",97017653,0,97017653,171440657,0,171440657,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 214","2011","31/12/2011","PU","PU","311 Apparel and Accessory Retailers","312 China","31/03/2015","USD",0,23827733,23827733,0,39394111,39394111,"USD",0,23827733,23827733,0,39394111,39394111,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 215","2009","31/12/2009","LS","PU","43 Energy","312 China","31/03/2015","USD",60556499,0,60556499,140305677,0,140305677,"USD",60556499,0,60556499,140305677,0,140305677,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 216","2010","31/03/2010","DC","PU","15 Information Services (IS)","312 China","31/03/2015","USD",14956161,33221199,48177360,49777650,141313691,191091341,"USD",14956161,33221199,48177360,49777650,141313691,191091341,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 10",3.33,"Company 217","2010","31/12/2010","LS","LS","313 Electronic Commerce","312 China","31/03/2015","USD",42336013,0,42336013,11512729,0,11512729,"USD",42336013,0,42336013,11512729,0,11512729,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 218","2011","30/09/2011","SS","SS","327 Consumer Products","312 China","31/03/2015","USD",2334500,0,2334500,2334500,0,2334500,"USD",2334500,0,2334500,2334500,0,2334500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 219","2012","31/12/2012","SS","SS","327 Consumer Products","231 Germany","31/03/2015","USD",3453537,0,3453537,3426395,0,3426395,"USD",3453537,0,3453537,3426395,0,3426395,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 220","2011","30/09/2011","SS","SS","334 Financial Institutions and Services","317 Other - Asia Pacific","31/03/2015","USD",747040,8529007,9276047,747040,8529007,9276047,"USD",747040,8529007,9276047,747040,8529007,9276047,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 221","2015","31/03/2015","PU","PU","14 Software (SW)","313 Australia","31/03/2015","USD",1647241,0,1647241,1120997,0,1120997,"USD",1647241,0,1647241,1120997,0,1120997,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 222","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",14298491,0,14298491,16587660,0,16587660,"USD",14298491,0,14298491,16587660,0,16587660,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 223","2011","31/12/2011","ES","ES","14 Software (SW)","316 Hong Kong","31/03/2015","USD",1704716,3119542,4824258,746623,1647241,2393864,"USD",1704716,3119542,4824258,746623,1647241,2393864,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 224","2014","31/03/2014","ES","ES","154 Online Publications and Content Provider","312 China","31/03/2015","USD",4669000,0,4669000,4669000,0,4669000,"USD",4669000,0,4669000,4669000,0,4669000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 225","2011","31/12/2011","ES","ES","323 Food Products","111 U.S. California","31/03/2015","USD",3735200,0,3735200,3735200,0,3735200,"USD",3735200,0,3735200,3735200,0,3735200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 226","2011","30/09/2011","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",13669144,0,13669144,28150043,0,28150043,"USD",13669144,0,13669144,28150043,0,28150043,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 227","2014","31/03/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",14077474,0,14077474,37677063,0,37677063,"USD",14077474,0,14077474,37677063,0,37677063,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 228","2013","31/12/2013","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",6133257,0,6133257,6113257,0,6113257,"USD",6133257,0,6133257,6113257,0,6113257,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 229","2013","30/09/2013","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",6821591,0,6821591,6821591,0,6821591,"USD",6821591,0,6821591,6821591,0,6821591,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 230","2014","31/03/2014","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",2465232,0,2465232,2465232,0,2465232,"USD",2465232,0,2465232,2465232,0,2465232,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 231","2011","31/12/2011","SS","SS","327 Consumer Products","312 China","31/03/2015","USD",2801400,0,2801400,2801400,0,2801400,"USD",2801400,0,2801400,2801400,0,2801400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 232","2011","30/09/2011","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",1867600,0,1867600,1867600,0,1867600,"USD",1867600,0,1867600,1867600,0,1867600,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 233","2012","31/03/2012","PU","PU","23 Biopharmaceuticals (BPH)","113 U.S. North East","31/03/2015","USD",7134832,0,7134832,7484414,0,7484414,"USD",7134832,0,7134832,7484414,0,7484414,"1","0","1","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 234","2011","31/12/2011","ES","ES","311 Apparel and Accessory Retailers","312 China","31/03/2015","USD",5245614,0,5245614,10304549,0,10304549,"USD",5245614,0,5245614,10304549,0,10304549,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 235","2012","30/09/2012","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",10006481,0,10006481,36298304,0,36298304,"USD",10006481,0,10006481,36298304,0,36298304,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 236","2014","31/03/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",4482240,0,4482240,4482240,0,4482240,"USD",4482240,0,4482240,4482240,0,4482240,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 237","2013","31/12/2013","SS","SS","334 Financial Institutions and Services","312 China","31/03/2015","USD",4099357,0,4099357,6290634,0,6290634,"USD",4099357,0,4099357,6290634,0,6290634,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 238","2013","30/09/2013","ES","ES","14 Software (SW)","113 U.S. North East","31/03/2015","USD",4669595,0,4669595,4669595,0,4669595,"USD",4669595,0,4669595,4669595,0,4669595,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 239","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",933800,0,933800,933800,0,933800,"USD",933800,0,933800,933800,0,933800,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 240","2012","31/03/2012","ES","ES","21 Healthcare Services (HS)","312 China","31/03/2015","USD",6303150,0,6303150,8194095,0,8194095,"USD",6303150,0,6303150,8194095,0,8194095,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 241","2013","31/03/2013","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",3735200,0,3735200,5419235,0,5419235,"USD",3735200,0,3735200,5419235,0,5419235,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 242","2013","31/12/2013","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",2801400,0,2801400,4687394,0,4687394,"USD",2801400,0,2801400,4687394,0,4687394,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 243","2011","30/09/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",5823278,0,5823278,15641302,0,15641302,"USD",5823278,0,5823278,15641302,0,15641302,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 244","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1867600,0,1867600,1867600,0,1867600,"USD",1867600,0,1867600,1867600,0,1867600,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 245","2011","30/09/2011","ES","ES","334 Financial Institutions and Services","312 China","31/03/2015","USD",2339945,449467,2789412,4799356,449467,5248823,"USD",2339945,449467,2789412,4799356,449467,5248823,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 246","2011","31/12/2011","ES","ES","11 Communications / Networking (CN)","312 China","31/03/2015","USD",0,1400768,1400768,0,0,0,"USD",0,1400768,1400768,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 247","2011","30/09/2011","DC","DC","325 Producers of Clothing and Accessories","312 China","31/03/2015","USD",4549999,0,4549999,4519999,0,4519999,"USD",4549999,0,4549999,4519999,0,4519999,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 248","2012","30/06/2012","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",9338000,0,9338000,9338000,0,9338000,"USD",9338000,0,9338000,9338000,0,9338000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 249","2011","30/09/2011","ES","ES","324 Vehicle and Components Manufacturers","312 China","31/03/2015","USD",1483224,0,1483224,1463224,0,1463224,"USD",1483224,0,1483224,1463224,0,1463224,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 250","2014","31/03/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",2801400,0,2801400,2801400,0,2801400,"USD",2801400,0,2801400,2801400,0,2801400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 251","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",14590029,0,14590029,14590029,0,14590029,"USD",14590029,0,14590029,14590029,0,14590029,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 252","2012","31/03/2012","ES","ES","314 Food Retailing","312 China","31/03/2015","USD",14820863,0,14820863,14800863,0,14800863,"USD",14820863,0,14820863,14800863,0,14800863,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 253","2014","30/09/2014","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",3056694,0,3056694,3041694,0,3041694,"USD",3056694,0,3056694,3041694,0,3041694,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 254","2011","31/12/2011","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",0,466900,466900,0,0,0,"USD",0,466900,466900,0,0,0,"1","0","0","0","1"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 255","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",3735200,0,3735200,3735200,0,3735200,"USD",3735200,0,3735200,3735200,0,3735200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 256","2012","30/09/2012","LS","LS","155 Other Online Services","312 China","31/03/2015","USD",14007000,0,14007000,25326458,0,25326458,"USD",14007000,0,14007000,25326458,0,25326458,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 257","2014","31/03/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",38645313,0,38645313,108133555,0,108133555,"USD",38645313,0,38645313,108133555,0,108133555,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 258","2011","31/12/2011","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",13507086,0,13507086,27795272,0,27795272,"USD",13507086,0,13507086,27795272,0,27795272,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 259","2012","30/09/2012","SS","SS","155 Other Online Services","312 China","31/03/2015","USD",10261525,0,10261525,78310793,0,78310793,"USD",10261525,0,10261525,78310793,0,78310793,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 260","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",4678338,0,4678338,4669000,0,4669000,"USD",4678338,0,4678338,4669000,0,4669000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 261","2014","31/03/2014","SS","SS","43 Energy","312 China","31/03/2015","USD",1868397,0,1868397,1832148,0,1832148,"USD",1868397,0,1868397,1832148,0,1832148,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 262","2012","31/03/2012","SS","SS","323 Food Products","114 U.S. Mid West","31/03/2015","USD",7551019,715,7551734,6689914,0,6689914,"USD",7551019,715,7551734,6689914,0,6689914,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 263","2011","30/09/2011","ES","ES","11 Communications / Networking (CN)","111 U.S. California","31/03/2015","USD",0,0,0,0,0,0,"USD",0,0,0,0,0,0,"0","0","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 264","2012","31/03/2012","ES","ES","21 Healthcare Services (HS)","312 China","31/03/2015","USD",2808713,0,2808713,24275683,0,24275683,"USD",2808713,0,2808713,24275683,0,24275683,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 265","2014","31/03/2014","ES","ES","14 Software (SW)","312 China","31/03/2015","USD",2801400,0,2801400,2801400,0,2801400,"USD",2801400,0,2801400,2801400,0,2801400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 266","2011","31/12/2011","LS","LS","332 Consumer Services","111 U.S. California","31/03/2015","USD",8221252,0,8221252,27638064,0,27638064,"USD",8221252,0,8221252,27638064,0,27638064,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 267","2012","30/09/2012","ES","DC","326 Media and Publications","111 U.S. California","31/03/2015","USD",27586779,0,27586779,58362500,0,58362500,"USD",27586779,0,27586779,58362500,0,58362500,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 268","2014","30/09/2014","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",11412984,0,11412984,11397984,0,11397984,"USD",11412984,0,11412984,11397984,0,11397984,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 269","2011","30/09/2011","ES","ES","327 Consumer Products","312 China","31/03/2015","USD",9557987,0,9557987,35113624,0,35113624,"USD",9557987,0,9557987,35113624,0,35113624,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 270","2011","30/09/2011","DC","DC","335 Hospitality, Sports + Entertainment Facilities","312 China","31/03/2015","USD",4315482,0,4315482,6277098,0,6277098,"USD",4315482,0,4315482,6277098,0,6277098,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 271","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",4683008,0,4683008,4669000,0,4669000,"USD",4683008,0,4683008,4669000,0,4669000,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 272","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",3195974,0,3195974,3195974,0,3195974,"USD",3195974,0,3195974,3195974,0,3195974,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 273","2014","30/06/2014","ES","ES","313 Electronic Commerce","312 China","31/03/2015","USD",7680647,0,7680647,7661971,0,7661971,"USD",7680647,0,7680647,7661971,0,7661971,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 274","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",2567950,0,2567950,2567950,0,2567950,"USD",2567950,0,2567950,2567950,0,2567950,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 275","2013","30/06/2013","SS","ES","14 Software (SW)","312 China","31/03/2015","USD",11679368,0,11679368,14780221,0,14780221,"USD",11679368,0,11679368,14780221,0,14780221,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 276","2014","31/03/2014","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",2988160,0,2988160,2988160,0,2988160,"USD",2988160,0,2988160,2988160,0,2988160,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 277","2014","31/03/2014","SS","SS","11 Communications / Networking (CN)","312 China","31/03/2015","USD",5602800,0,5602800,6359179,0,6359179,"USD",5602800,0,5602800,6359179,0,6359179,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 278","2013","30/06/2013","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",3735200,0,3735200,3735200,0,3735200,"USD",3735200,0,3735200,3735200,0,3735200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 279","2011","30/09/2011","ES","ES","155 Other Online Services","312 China","31/03/2015","USD",2965032,0,2965032,2731582,0,2731582,"USD",2965032,0,2965032,2731582,0,2731582,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 280","2011","30/09/2011","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",3735200,0,3735200,3735200,0,3735200,"USD",3735200,0,3735200,3735200,0,3735200,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 281","2013","30/09/2013","ES","ES","24 Medical Devices and Equipment (MDE)","312 China","31/03/2015","USD",3061693,0,3061693,3041693,0,3041693,"USD",3061693,0,3061693,3041693,0,3041693,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 282","2014","31/03/2014","SS","SS","15 Information Services (IS)","312 China","31/03/2015","USD",2801400,0,2801400,2801400,0,2801400,"USD",2801400,0,2801400,2801400,0,2801400,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 283","2011","31/12/2011","ES","ES","11 Communications / Networking (CN)","312 China","31/03/2015","USD",2101822,0,2101822,670176,0,670176,"USD",2101822,0,2101822,670176,0,670176,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 284","2011","30/09/2011","SS","SS","14 Software (SW)","312 China","31/03/2015","USD",7541719,0,7541719,14410993,0,14410993,"USD",7541719,0,7541719,14410993,0,14410993,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 11",0.18,"Company 285","2014","30/06/2014","ES","ES","15 Information Services (IS)","312 China","31/03/2015","USD",1400700,0,1400700,1400700,0,1400700,"USD",1400700,0,1400700,1400700,0,1400700,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 12",1.2,"Company 286","2011","30/06/2011","PU","PU","327 Consumer Products","314 India","31/03/2015","USD",0,7315919,7315919,0,8919342,8919342,"USD",0,7315919,7315919,0,8919342,8919342,"1","0","0","1","0"
